Vehicle_ID,Frame_ID,Total_Frames,Global_Time,Local_X,Local_Y,Global_X,Global_Y,v_length,v_Width,v_Class,v_Vel,v_Acc,Lane_ID,O_Zone,D_Zone,Int_ID,Section_ID,Direction,Movement,Preceding,Following,Space_Headway,Time_Headway,Location
1629,9082,1404,1163938500,-15.228,1561.975,2230819.012,1377022.878,16.2,6.6,2,18.52,-10.02,2,114.0,201.0,0.0,4.0,4.0,1.0,1583,0,456.15,24.63,peachtree
396,2755,1319,1163305800,8.123,810.381,2230614.927,1376331.219,15.5,6.7,2,26.56,12.27,1,102.0,214.0,0.0,3.0,2.0,1.0,390,0,104.06,3.92,peachtree
359,2713,283,1163289900,-9.647,1495.354,2230824.438,1376973.785,14.5,6.5,2,38.4,-1.26,1,114.0,221.0,0.0,4.0,4.0,1.0,358,399,203.4,5.3,peachtree
277,1928,1003,1118935872700,-4.708,631.813,6452175.016,1873370.389,14.0,7.0,2,35.91,0.51,11,108.0,203.0,0.0,3.0,4.0,1.0,0,0,0.0,0.0,lankershim
785,5469,608,1118936226800,-18.342,1595.393,6452418.326,1874274.428,15.0,7.0,2,0.0,0.0,1,108.0,205.0,0.0,5.0,4.0,1.0,779,800,0.0,0.0,lankershim
1011,7639,679,1118936443800,-16.218,766.289,6452222.689,1873495.772,15.0,7.6,2,30.99,-15.69,12,108.0,203.0,0.0,3.0,4.0,1.0,1029,0,95.04,3.07,lankershim
1103,6876,28,1163706200,16.85,164.566,2230540.186,1375711.612,17.3,6.7,2,22.8,0.0,0,123.0,202.0,1.0,0.0,1.0,1.0,0,0,0.0,0.0,peachtree
1554,9453,946,1118937645200,-24.903,510.907,6452107.282,1873276.4,15.5,7.5,2,0.47,-1.4,1,108.0,201.0,0.0,3.0,4.0,1.0,1551,1566,22.14,47.12,lankershim
314,2607,1122,1163279300,-15.077,1130.328,2230778.743,1376623.196,16.0,6.5,2,42.08,10.2,2,114.0,201.0,0.0,3.0,4.0,1.0,307,366,652.39,15.5,peachtree
878,4760,1063,1118937175900,-15.785,1276.929,6452421.587,1873968.768,12.5,6.5,2,29.59,-12.74,1,108.0,203.0,0.0,4.0,4.0,1.0,873,886,59.72,2.02,lankershim
824,4623,234,1118937162200,-34.905,361.093,6452025.703,1873154.608,13.0,7.0,2,14.63,11.12,0,111.0,201.0,2.0,0.0,4.0,3.0,0,0,0.0,0.0,lankershim
41,618,488,1118936761700,-18.521,393.689,6452056.925,1873173.368,23.2,7.4,2,33.03,2.63,1,108.0,201.0,2.0,0.0,4.0,1.0,59,69,71.62,2.17,lankershim
73,432,792,1118935723100,-34.195,535.949,6452106.818,1873296.835,15.9,7.2,2,0.0,0.0,2,108.0,201.0,0.0,3.0,4.0,1.0,67,77,20.93,9999.99,lankershim
1362,7832,384,1118937483100,-38.033,396.521,6452041.933,1873186.172,16.1,6.3,2,44.65,0.0,3,108.0,201.0,2.0,0.0,4.0,1.0,1356,1364,64.04,1.43,lankershim
25,171,439,1163047400,-16.158,675.909,2230558.578,1376208.59,16.0,6.5,2,30.77,8.2,0,122.0,202.0,2.0,0.0,4.0,3.0,0,0,0.0,0.0,peachtree
1440,8078,60,1118937507700,52.996,438.414,6452141.272,1873172.993,15.5,7.0,2,17.48,9.08,3,103.0,211.0,0.0,0.0,3.0,1.0,0,0,0.0,0.0,lankershim
832,6143,921,1163632900,16.04,1653.457,2230848.499,1377132.384,16.0,7.0,2,46.67,-2.64,1,101.0,214.0,0.0,5.0,2.0,1.0,897,837,297.48,6.37,peachtree
195,1675,955,1118936867400,28.291,317.397,6452060.12,1873085.564,13.2,6.5,2,0.0,0.0,2,102.0,208.0,0.0,2.0,2.0,1.0,192,194,21.04,9999.99,lankershim
